Y1,FORECAST,STD,L95,U95,RESIDUAL
299013,316537.2492,32027.00514,253765.4726,379309.0258,-17524.24923
279257,285756.9668,32027.00514,222985.1902,348528.7434,-6499.966825
275795,282337.1635,32027.00514,219565.3869,345108.9401,-6542.163497
276573,280060.0255,32027.00514,217288.2488,342831.8021,-3487.025458
280096,271869.3536,32027.00514,209097.577,334641.1302,8226.646395
286033,282408.4165,32027.00514,219636.6398,345180.1931,3624.583549
330396,298753.8918,32027.00514,235982.1152,361525.6684,31642.10823
361066,340447.2505,32027.00514,277675.4739,403219.0271,20618.74952
336763,367708.5291,32027.00514,304936.7525,430480.3057,-30945.52909
354762,336213.4081,32027.00514,273441.6315,398985.1847,18548.5919
341651,335837.1872,32027.00514,273065.4106,398608.9638,5813.812794
296876,360679.025,32027.00514,297907.2484,423450.8016,-63803.02501
347370,293499.8086,32027.00514,230728.032,356271.5852,53870.19142
301748,335358.5494,32027.00514,272586.7728,398130.326,-33610.54937
338991,302941.0197,32027.00514,240169.2431,365712.7964,36049.98026
305272,337632.6838,32027.00514,274860.9071,400404.4604,-32360.68376
313763,308664.7572,32027.00514,245892.9806,371436.5338,5098.242793
295973,314759.9939,32027.00514,251988.2173,377531.7705,-18786.99389
359702,315940.2443,32027.00514,253168.4676,378712.0209,43761.75574
382683,372375.0614,32027.00514,309603.2848,435146.838,10307.93859
303621,374104.6963,32027.00514,311332.9197,436876.4729,-70483.69628
389060,312139.8461,32027.00514,249368.0695,374911.6227,76920.15392
369447,379661.9784,32027.00514,316890.2018,442433.755,-10214.9784
270935,353454.8012,32027.00514,290683.0246,416226.5778,-82519.80117
370640,292849.679,32027.00514,230077.9024,355621.4556,77790.32101
350592,346188.3947,32027.00514,283416.6181,408960.1713,4403.605278
375744,371081.3669,32027.00514,308309.5903,433853.1435,4662.633117
364113,360987.1912,32027.00514,298215.4145,423758.9678,3125.808838
380767,368121.6068,32027.00514,305349.8301,430893.3834,12645.39324
394557,373022.0544,32027.00514,310250.2778,435793.831,21534.94559
405835,423510.4325,32027.00514,360738.6559,486282.2091,-17675.4325
484231,417136.3324,32027.00514,354364.5558,479908.109,67094.66762
438135,448210.6963,32027.00514,385438.9196,510982.4729,-10075.69626
445716,479493.7639,32027.00514,416721.9873,542265.5405,-33777.76389
432215,436491.8896,32027.00514,373720.113,499263.6662,-4276.889616
413232,386737.4686,32027.00514,323965.692,449509.2452,26494.5314
442800,457310.2813,32027.00514,394538.5047,520082.0579,-14510.28128
460824,435236.6342,32027.00514,372464.8576,498008.4108,25587.36579
453985,471262.4419,32027.00514,408490.6653,534034.2185,-17277.44191
425499,450114.9939,32027.00514,387343.2173,512886.7705,-24615.99389
477464,432021.82,32027.00514,369250.0434,494793.5966,45442.18003
489376,482342.4126,32027.00514,419570.6359,545114.1892,7033.587444
504141,496690.1619,32027.00514,433918.3853,559461.9385,7450.838071
592046,539325.9166,32027.00514,476554.14,602097.6932,52720.08342
601884,571945.0502,32027.00514,509173.2736,634716.8269,29938.94975
550520,607924.694,32027.00514,545152.9174,670696.4707,-57404.69404
465085,546039.8366,32027.00514,483268.06,608811.6132,-80954.8366
361006,453741.3394,32027.00514,390969.5628,516513.116,-92735.33938
315909,370037.7661,32027.00514,307265.9895,432809.5427,-54128.76608
358065,319214.9744,32027.00514,256443.1978,381986.751,38850.02562
452423,352282.5322,32027.00514,289510.7556,415054.3088,100140.4678
492678,441737.3402,32027.00514,378965.5636,504509.1168,50940.6598
516777,520840.8706,32027.00514,458069.094,583612.6472,-4063.870608
528512,524651.5799,32027.00514,461879.8033,587423.3565,3860.420129
544550,534865.4973,32027.00514,472093.7207,597637.2739,9684.502715
624366,583798.5306,32027.00514,521026.754,646570.3072,40567.46937
573766,629227.6206,32027.00514,566455.844,691999.3972,-55461.62057
555903,553003.5916,32027.00514,490231.815,615775.3682,2899.408392
517889,515135.773,32027.00514,452363.9964,577907.5496,2753.227025
406725,471797.6842,32027.00514,409025.9076,534569.4609,-65072.68424
498819,386829.7131,32027.00514,324057.9365,449601.4898,111989.2869
455570,514248.308,32027.00514,451476.5314,577020.0846,-58678.30799
437456,503167.153,32027.00514,440395.3763,565938.9296,-65711.15296
449569,452364.9419,32027.00514,389593.1653,515136.7185,-2795.941886
477069,456943.9072,32027.00514,394172.1306,519715.6838,20125.09279
486602,482140.6646,32027.00514,419368.888,544912.4412,4461.335376
549516,494747.3486,32027.00514,431975.572,557519.1252,54768.65138
604323,585201.3628,32027.00514,522429.5862,647973.1394,19121.63719
606412,584619.9639,32027.00514,521848.1873,647391.7405,21792.03612
590398,599445.5628,32027.00514,536673.7861,662217.3394,-9047.56276
567967,574614.6276,32027.00514,511842.8509,637386.4042,-6647.62756
497925,518122.4157,32027.00514,455350.6391,580894.1924,-20197.41574
552403,538501.8168,32027.00514,475730.0402,601273.5934,13901.18318
536611,532165.1814,32027.00514,469393.4048,594936.958,4445.818568
364639,348421.4297,32027.00514,285649.6531,411193.2063,16217.57033
167461,189398.8118,32027.00514,126627.0352,252170.5884,-21937.8118
379,-346.4990353,32027.00514,-63118.27565,62425.27758,725.4990353
36,5472.242228,32027.00514,-57299.53438,68244.01884,-5436.242228
45,29993.33254,32027.00514,-32778.44407,92765.10915,-29948.33254
16,26088.32159,32027.00514,-36683.45502,88860.0982,-26072.32159
12,1396.04834,32027.00514,-61375.72827,64167.82495,-1384.04834
8,-6453.918672,32027.00514,-69225.69528,56317.85794,6461.918672
63,-8057.126315,32027.00514,-70828.90293,54714.6503,8120.126315
53,-28756.1011,32027.00514,-91527.87771,34015.67551,28809.1011
150,26637.42345,32027.00514,-36134.35316,89409.20007,-26487.42345
10,-3434.974639,32027.00514,-66206.75125,59336.80197,3444.974639
12,4580.245733,32027.00514,-58191.53088,67352.02234,-4568.245733
3,-5098.352138,32027.00514,-67870.12875,57673.42447,5101.352138
