open;High;low;close;volume
13,58;13,61;13,18;13,58;5418309
13,44;13,70;13,41;13,44;8449242
12,80;13,60;12,80;12,80;32443764
13,19;13,19;12,88;13,19;10532159
13,02;13,14;12,92;13,02;5697592
12,91;13,14;12,91;12,91;5802967
12,85;13,28;12,83;12,85;11572099
12,86;13,10;12,83;12,86;7885379
13,07;13,27;12,91;13,07;7548277
13,00;13,10;12,93;13,00;9547072
12,91;13,26;12,91;12,91;5790510
12,88;13,05;12,83;12,88;5673373
13,06;13,15;12,82;13,06;12028947
13,06;13,19;12,91;13,06;6017396
12,73;13,13;12,73;12,73;9245270
12,30;12,88;12,16;12,30;21810908
12,48;12,70;12,15;12,48;7636201
11,99;12,67;11,96;11,99;10103175
12,48;12,48;11,79;12,48;7898501
12,80;12,87;12,41;12,80;9982022
13,20;13,55;12,41;13,20;8073575
13,08;13,40;12,97;13,08;9578495
13,18;13,53;13,03;13,18;6827236
13,20;13,42;12,98;13,20;6865185
13,73;13,80;13,25;13,73;22351824
13,45;13,64;13,14;13,45;16716023
13,95;13,99;13,14;13,95;8959159
14,20;14,30;13,89;14,20;11127304
13,60;13,63;13,35;13,60;62670100
13,55;13,68;13,52;13,55;6642589
13,22;13,40;13,15;13,22;11057778
13,30;13,45;13,25;13,30;9757755
13,51;13,65;13,37;13,51;17533412
13,61;13,77;13,48;13,61;9326126
13,75;13,90;13,51;13,75;8149795
14,05;14,30;13,91;14,05;18899292
14,00;14,19;13,84;14,00;8631613
13,96;14,15;13,77;13,96;8968580
13,83;13,95;13,77;13,83;9026618
14,02;14,17;13,81;14,02;8178691
14,08;14,18;13,91;14,08;5363610
14,06;14,23;13,96;14,06;5180986
13,60;14,23;13,54;13,60;11473845
13,70;13,80;13,45;13,70;4329718
13,65;13,70;13,46;13,65;5404044
13,58;13,85;13,49;13,58;7230334
13,51;13,61;13,40;13,51;6111541
13,43;13,62;13,29;13,43;6874324
13,55;13,65;13,34;13,55;6626306
13,30;13,67;13,28;13,30;11633007
13,05;13,38;13,00;13,05;10501840
13,16;13,16;12,83;13,16;5637876
13,18;13,42;13,12;13,18;5082951
13,39;13,42;13,07;13,39;7299894
13,42;13,50;13,26;13,42;6385975
13,15;13,44;13,05;13,15;5067919
13,38;13,39;13,01;13,38;4607412
13,38;13,50;13,32;13,38;5517382
13,33;13,50;13,25;13,33;4366959
13,38;13,65;13,36;13,38;10692743
13,60;13,64;13,31;13,60;3867025
13,63;13,73;13,51;13,63;4899817
13,25;13,55;13,19;13,25;6071830
13,33;13,40;13,15;13,33;5155009
13,30;13,37;12,98;13,30;7858450
13,33;13,42;13,05;13,33;13605302
13,30;13,40;13,09;13,30;11395356
13,35;13,45;13,21;13,35;1915991
13,31;13,34;13,12;13,31;9469358
13,45;13,52;13,30;13,45;6711378
13,37;13,50;13,32;13,37;3613969
13,44;13,51;13,31;13,44;6459061
13,52;13,59;13,44;13,52;5698921
13,49;13,54;13,38;13,49;4613624
13,70;13,72;13,51;13,70;9877171
13,64;13,83;13,58;13,64;11372530
13,86;13,90;13,63;13,86;15089725
13,80;13,83;13,68;13,80;4046504
13,87;13,95;13,71;13,87;9882328
13,99;14,05;13,81;13,99;8106372
14,14;14,15;14,00;14,14;9307600
14,09;14,24;13,98;14,09;6556649
14,26;14,28;13,96;14,26;5846702
14,21;14,38;14,15;14,21;9065966
14,38;14,40;14,15;14,38;7067943
14,25;14,39;14,17;14,25;5514474
14,41;14,41;14,11;14,41;17578034
14,26;14,35;14,19;14,26;11957425
14,25;14,36;14,20;14,25;5233270
14,26;14,35;14,18;14,26;7174499
14,29;14,35;14,17;14,29;5911898
14,15;14,34;14,08;14,15;8379344
14,12;14,26;14,04;14,12;10166010
13,90;14,20;13,84;13,90;10886839
14,03;14,14;13,93;14,03;20531476
13,94;14,15;13,84;13,94;7667378
13,95;14,09;13,88;13,95;9571557
14,07;14,17;13,95;14,07;11666932
14,16;14,27;14,07;14,16;42819076
14,16;14,25;14,12;14,16;29848724
14,04;14,20;13,92;14,04;28678958
14,19;14,19;13,95;14,19;20715978
14,30;14,33;14,11;14,30;35620412
14,16;14,25;14,09;14,16;23765172
14,07;14,18;13,97;14,07;35003516
14,08;14,18;13,91;14,08;30363540
14,08;14,18;14,03;14,08;27192500
14,05;14,20;13,98;14,05;10206977
14,10;14,18;14,00;14,10;10514220
14,07;14,15;14,02;14,07;2921079
14,20;14,25;14,05;14,20;10441925
14,13;14,17;14,03;14,13;7214532
14,21;14,29;14,11;14,21;5338214
14,14;14,26;14,07;14,14;4474847
14,20;14,30;14,17;14,20;5493850
14,25;14,29;14,13;14,25;6943643
14,21;14,30;14,15;14,21;4432893
14,19;14,32;14,11;14,19;8571883
14,27;14,27;14,14;14,27;4132466
14,12;14,32;14,08;14,12;11123678
14,20;14,23;14,03;14,20;5164993
14,40;14,47;14,22;14,40;6983486
14,63;14,71;14,35;14,63;14969328
14,67;14,81;14,61;14,67;6826298
14,63;14,79;14,55;14,63;3217307
14,91;14,95;14,66;14,91;7648857
15,09;15,10;14,91;15,09;13791290
